Number,Character
693,"SUPPLY 1, SUPPLY 1, SUPPLY 1, U_BASE 1, SUPPLY 1, SUPPLY 1, TEMPLE 1, SUPPLY 1, U_BASE 2, U_BASE 3, "
818,"SUPPLY 1, TEMPLE 1, U_BASE 1, U_SPLY 1, U_BASE 2, U_BASE 2, SUPPLY 2, U_SPLY 2, SUPPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 1, SUPPLY 2, SUPPLY 2, "
700,"SUPPLY 1, SUPPLY 1, U_BASE 3, U_BASE 1, TEMPLE 3, SUPPLY 1, SUPPLY 3, U_BASE 3, U_SPLY 3, SUPPLY 3, U_SPLY 3, "
617,"SUPPLY 1, TEMPLE 1, SUPPLY 1, U_SPLY 1, U_BASE 1, SUPPLY 1, SUPPLY 1, U_SPLY 1, U_SPLY 1, U_SPLY 1, SUPPLY 1, "
,"TEMPLE 1, "
839,"U_BASE 1, SUPPLY 1, U_BASE 2, SUPPLY 1, TEMPLE 1, U_SPLY 1, U_BASE 3, SUPPLY 2, U_SPLY 2, U_SPLY 1, SUPPLY 1, U_SPLY 1, SUPPLY 2, U_SPLY 2, U_BASE 3, U_BASE 2, SUPPLY 3, SUPPLY 3, U_BASE 3, U_SPLY 3, SUPPLY 3, SUPPLY 1, "
708,"SUPPLY 1, SUPPLY 1, U_BASE 3, TEMPLE 3, SUPPLY 1, U_BASE 2, U_BASE 3, SUPPLY 2, SUPPLY 1, SUPPLY 2, "
701,"SUPPLY 1, SUPPLY 1, U_BASE 3, U_BASE 3, U_BASE 2, U_BASE 3, SUPPLY 1, SUPPLY 1, SUPPLY 1, SUPPLY 2, U_BASE 1, SUPPLY 1, SUPPLY 2, SUPPLY 3, U_BASE 2, SUPPLY 1, SUPPLY 2, SUPPLY 3, TEMPLE 2, SUPPLY 3, U_SPLY 3, "
863,"SUPPLY 1, TEMPLE 1, U_SPLY 1, U_BASE 3, U_BASE 1, SUPPLY 3, U_BASE 2, U_BASE 2, U_SPLY 3, SUPPLY 2, SUPPLY 2, SUPPLY 1, "
,"U_BASE 3, SUPPLY 1, TEMPLE 3, U_BASE 3, U_BASE 3, U_BASE 2, SUPPLY 2, "
